"","Team 1","Team 2","Winner","Margin","Ground","Match Date","Scorecard"
"1","New Zealand","Sri Lanka","no result","","Nelson","Jan 2, 2016","ODI # 3718"
"2","Afghanistan","Zimbabwe","Zimbabwe","117 runs","Sharjah","Jan 2, 2016","ODI # 3719"
"3","Afghanistan","Zimbabwe","Zimbabwe","65 runs","Sharjah","Jan 4, 2016","ODI # 3720"
"4","New Zealand","Sri Lanka","New Zealand","36 runs","Mount Maunganui","Jan 5, 2016","ODI # 3721"
"5","Afghanistan","Zimbabwe","Afghanistan","2 wickets","Sharjah","Jan 6, 2016","ODI # 3722"
"6","Australia","India","Australia","5 wickets","Perth","Jan 12, 2016","ODI # 3723"
"7","Australia","India","Australia","7 wickets","Brisbane","Jan 15, 2016","ODI # 3724"
"8","Australia","India","Australia","3 wickets","Melbourne","Jan 17, 2016","ODI # 3725"
"9","Australia","India","Australia","25 runs","Canberra","Jan 20, 2016","ODI # 3726"
"10","Australia","India","India","6 wickets","Sydney","Jan 23, 2016","ODI # 3727"
"11","New Zealand","Pakistan","New Zealand","70 runs","Wellington","Jan 25, 2016","ODI # 3728"
"12","Hong Kong","Scotland","Hong Kong","109 runs","Mong Kok","Jan 26, 2016","ODI # 3729"
"13","New Zealand","Pakistan","New Zealand","3 wickets","Auckland","Jan 31, 2016","ODI # 3730"
"14","New Zealand","Australia","New Zealand","159 runs","Auckland","Feb 3, 2016","ODI # 3731"
"15","South Africa","England","England","39 runs","Bloemfontein","Feb 3, 2016","ODI # 3732"
"16","New Zealand","Australia","Australia","4 wickets","Wellington","Feb 6, 2016","ODI # 3733"
"17","South Africa","England","England","5 wickets","Port Elizabeth","Feb 6, 2016","ODI # 3734"
"18","New Zealand","Australia","New Zealand","55 runs","Hamilton","Feb 8, 2016","ODI # 3735"
"19","South Africa","England","South Africa","7 wickets","Centurion","Feb 9, 2016","ODI # 3736"
"20","South Africa","England","South Africa","1 wicket","Johannesburg","Feb 12, 2016","ODI # 3737"
"21","South Africa","England","South Africa","5 wickets","Cape Town","Feb 14, 2016","ODI # 3738"
"22","West Indies","South Africa","West Indies","4 wickets","Providence","Jun 3, 2016","ODI # 3739"
"23","West Indies","Australia","Australia","6 wickets","Providence","Jun 5, 2016","ODI # 3740"
"24","Australia","South Africa","South Africa","47 runs","Providence","Jun 7, 2016","ODI # 3741"
"25","Zimbabwe","India","India","9 wickets","Harare","Jun 11, 2016","ODI # 3742"
"26","Australia","South Africa","Australia","36 runs","Basseterre","Jun 11, 2016","ODI # 3743"
"27","Zimbabwe","India","India","8 wickets","Harare","Jun 13, 2016","ODI # 3744"
"28","West Indies","Australia","West Indies","4 wickets","Basseterre","Jun 13, 2016","ODI # 3745"
"29","Zimbabwe","India","India","10 wickets","Harare","Jun 15, 2016","ODI # 3746"
"30","West Indies","South Africa","South Africa","139 runs","Basseterre","Jun 15, 2016","ODI # 3747"
"31","Ireland","Sri Lanka","Sri Lanka","76 runs","Dublin (Malahide)","Jun 16, 2016","ODI # 3748"
"32","Ireland","Sri Lanka","Sri Lanka","136 runs","Dublin (Malahide)","Jun 18, 2016","ODI # 3749"
"33","Australia","South Africa","no result","","Bridgetown","Jun 19, 2016","ODI # 3750"
"34","England","Sri Lanka","tied","","Nottingham","Jun 21, 2016","ODI # 3751"
"35","West Indies","Australia","Australia","6 wickets","Bridgetown","Jun 21, 2016","ODI # 3752"
"36","England","Sri Lanka","England","10 wickets","Birmingham","Jun 24, 2016","ODI # 3753"
"37","West Indies","South Africa","West Indies","100 runs","Bridgetown","Jun 24, 2016","ODI # 3754"
"38","England","Sri Lanka","no result","","Bristol","Jun 26, 2016","ODI # 3755"
"39","West Indies","Australia","Australia","58 runs","Bridgetown","Jun 26, 2016","ODI # 3756"
"40","England","Sri Lanka","England","6 wickets","The Oval","Jun 29, 2016","ODI # 3757"
"41","England","Sri Lanka","England","122 runs","Cardiff","Jul 2, 2016","ODI # 3758"
"42","Scotland","Afghanistan","no result","","Edinburgh","Jul 4, 2016","ODI # 3759"
"43","Scotland","Afghanistan","Afghanistan","78 runs","Edinburgh","Jul 6, 2016","ODI # 3760"
"44","Ireland","Afghanistan","Afghanistan","39 runs","Belfast","Jul 12, 2016","ODI # 3761"
"45","Ireland","Afghanistan","Ireland","6 wickets","Belfast","Jul 14, 2016","ODI # 3762"
"46","Ireland","Afghanistan","Afghanistan","79 runs","Belfast","Jul 17, 2016","ODI # 3763"
"47","Ireland","Afghanistan","Ireland","12 runs","Belfast","Jul 19, 2016","ODI # 3764"
"48","Scotland","U.A.E.","Scotland","98 runs","Edinburgh","Aug 14, 2016","ODI # 3765"
"49","Scotland","U.A.E.","Scotland","7 wickets","Edinburgh","Aug 16, 2016","ODI # 3766"
"50","Ireland","Pakistan","Pakistan","255 runs","Dublin (Malahide)","Aug 18, 2016","ODI # 3767"
"51","Sri Lanka","Australia","Australia","3 wickets","Colombo (RPS)","Aug 21, 2016","ODI # 3768"
"52","Sri Lanka","Australia","Sri Lanka","82 runs","Colombo (RPS)","Aug 24, 2016","ODI # 3769"
"53","England","Pakistan","England","44 runs","Southampton","Aug 24, 2016","ODI # 3770"
"54","England","Pakistan","England","4 wickets","Lord's","Aug 27, 2016","ODI # 3771"
"55","Sri Lanka","Australia","Australia","2 wickets","Dambulla","Aug 28, 2016","ODI # 3772"
"56","England","Pakistan","England","169 runs","Nottingham","Aug 30, 2016","ODI # 3773"
"57","Sri Lanka","Australia","Australia","6 wickets","Dambulla","Aug 31, 2016","ODI # 3774"
"58","England","Pakistan","England","4 wickets","Leeds","Sep 1, 2016","ODI # 3775"
"59","Sri Lanka","Australia","Australia","5 wickets","Pallekele","Sep 4, 2016","ODI # 3776"
"60","England","Pakistan","Pakistan","4 wickets","Cardiff","Sep 4, 2016","ODI # 3777"
"61","Scotland","Hong Kong","no result","","Edinburgh","Sep 8, 2016","ODI # 3778"
"62","Scotland","Hong Kong","Scotland","53 runs","Edinburgh","Sep 10, 2016","ODI # 3779"
"63","South Africa","Ireland","South Africa","206 runs","Benoni","Sep 25, 2016","ODI # 3780"
"64","Bangladesh","Afghanistan","Bangladesh","7 runs","Dhaka","Sep 25, 2016","ODI # 3781"
"65","Australia","Ireland","Australia","9 wickets","Benoni","Sep 27, 2016","ODI # 3782"
"66","Bangladesh","Afghanistan","Afghanistan","2 wickets","Dhaka","Sep 28, 2016","ODI # 3783"
"67","Pakistan","West Indies","Pakistan","111 runs","Sharjah","Sep 30, 2016","ODI # 3784"
"68","South Africa","Australia","South Africa","6 wickets","Centurion","Sep 30, 2016","ODI # 3785"
"69","Bangladesh","Afghanistan","Bangladesh","141 runs","Dhaka","Oct 1, 2016","ODI # 3786"
"70","South Africa","Australia","South Africa","142 runs","Johannesburg","Oct 2, 2016","ODI # 3787"
"71","Pakistan","West Indies","Pakistan","59 runs","Sharjah","Oct 2, 2016","ODI # 3788"
"72","Pakistan","West Indies","Pakistan","136 runs","Abu Dhabi","Oct 5, 2016","ODI # 3789"
"73","South Africa","Australia","South Africa","4 wickets","Durban","Oct 5, 2016","ODI # 3790"
"74","Bangladesh","England","England","21 runs","Dhaka","Oct 7, 2016","ODI # 3791"
"75","South Africa","Australia","South Africa","6 wickets","Port Elizabeth","Oct 9, 2016","ODI # 3792"
"76","Bangladesh","England","Bangladesh","34 runs","Dhaka","Oct 9, 2016","ODI # 3793"
"77","Bangladesh","England","England","4 wickets","Chittagong","Oct 12, 2016","ODI # 3794"
"78","South Africa","Australia","South Africa","31 runs","Cape Town","Oct 12, 2016","ODI # 3795"
"79","India","New Zealand","India","6 wickets","Dharamsala","Oct 16, 2016","ODI # 3796"
"80","India","New Zealand","New Zealand","6 runs","Delhi","Oct 20, 2016","ODI # 3797"
"81","India","New Zealand","India","7 wickets","Mohali","Oct 23, 2016","ODI # 3798"
"82","India","New Zealand","New Zealand","19 runs","Ranchi","Oct 26, 2016","ODI # 3799"
"83","India","New Zealand","India","190 runs","Visakhapatnam","Oct 29, 2016","ODI # 3800"
"84","Hong Kong","P.N.G.","Hong Kong","106 runs","Mong Kok","Nov 4, 2016","ODI # 3801"
"85","Hong Kong","P.N.G.","P.N.G.","14 runs","Mong Kok","Nov 6, 2016","ODI # 3802"
"86","Hong Kong","P.N.G.","Hong Kong","7 wickets","Mong Kok","Nov 8, 2016","ODI # 3803"
"87","Zimbabwe","Sri Lanka","Sri Lanka","8 wickets","Harare","Nov 14, 2016","ODI # 3804"
"88","Sri Lanka","West Indies","West Indies","62 runs","Harare","Nov 16, 2016","ODI # 3805"
"89","Zimbabwe","West Indies","tied","","Bulawayo","Nov 19, 2016","ODI # 3806"
"90","Zimbabwe","Sri Lanka","no result","","Bulawayo","Nov 21, 2016","ODI # 3807"
"91","Sri Lanka","West Indies","Sri Lanka","1 run","Bulawayo","Nov 23, 2016","ODI # 3808"
"92","Zimbabwe","West Indies","Zimbabwe","5 runs","Bulawayo","Nov 25, 2016","ODI # 3809"
"93","Zimbabwe","Sri Lanka","Sri Lanka","6 wickets","Bulawayo","Nov 27, 2016","ODI # 3810"
"94","Australia","New Zealand","Australia","68 runs","Sydney","Dec 4, 2016","ODI # 3811"
"95","Australia","New Zealand","Australia","116 runs","Canberra","Dec 6, 2016","ODI # 3812"
"96","Australia","New Zealand","Australia","117 runs","Melbourne","Dec 9, 2016","ODI # 3813"
"97","New Zealand","Bangladesh","New Zealand","77 runs","Christchurch","Dec 26, 2016","ODI # 3814"
"98","New Zealand","Bangladesh","New Zealand","67 runs","Nelson","Dec 29, 2016","ODI # 3815"
"99","New Zealand","Bangladesh","New Zealand","8 wickets","Nelson","Dec 31, 2016","ODI # 3816"
